ts_epoch,ts_iso,mode,raw_present,filt_occupied,moving,stationary,lux,lux_smooth,moving_age_ms,moving_events,sensor_age_s,move_dist,move_energy,still_dist,still_energy,sensor_seq,confirm_count,filter_stage,lamp_is_off,lamp_level,lamp_temp_dtr,lamp_temp_dtr1,cct_kelvin,runtime_s,action,reason,rationale,user_text,circadian_phase,weather_context
1775894641.236,2026-04-11T10:04:01,ai,True,True,True,True,255.0,252.0,857,52,0.858,148,80,80,100,269,,,False,156,154,0,6494,268.1,,,,,,
1775894646.258,2026-04-11T10:04:06,ai,True,True,True,True,285.8,277.2,879,53,0.879,81,93,72,100,274,,,False,156,154,0,6494,273.1,,,,,,
1775894651.28,2026-04-11T10:04:11,ai,True,True,True,True,278.3,280.0,902,53,0.903,78,55,84,100,279,,,False,156,154,0,6494,278.1,,,,,,
1775894656.301,2026-04-11T10:04:16,ai,True,True,True,True,270.0,273.1,922,54,0.922,74,35,81,100,284,,,False,156,154,0,6494,283.1,,,,,,
1775894661.322,2026-04-11T10:04:21,ai,True,True,True,True,268.3,269.3,944,55,0.945,79,82,76,100,289,,,False,156,154,0,6494,288.2,,,,,,
1775894666.342,2026-04-11T10:04:26,ai,True,True,True,True,265.8,267.1,964,56,0.965,109,33,95,100,294,,,False,156,154,0,6494,293.2,,,,,,
1775894671.365,2026-04-11T10:04:31,ai,True,True,False,True,265.8,266.1,4986,56,0.988,82,0,82,100,299,,,False,156,154,0,6494,298.2,,,,,,
1775894676.387,2026-04-11T10:04:36,ai,True,True,False,True,265.0,265.4,5008,57,0.01,80,0,80,100,305,,,False,156,154,0,6494,303.2,,,,,,
1775894681.409,2026-04-11T10:04:41,ai,True,True,True,True,265.0,265.3,32,60,0.032,79,100,78,100,310,,,False,156,154,0,6494,308.2,,,,,,
1775894686.429,2026-04-11T10:04:46,ai,True,True,True,True,209.2,248.3,53,60,0.053,0,38,89,100,315,,,False,128,154,0,6494,313.3,,,,,,
1775894688.241,2026-04-11T10:04:48,ai,True,True,False,True,186.7,229.8,1864,60,0.864,150,0,150,100,316,,,False,128,154,0,6494,315.1,set_brightness_pct(50); brightness_feedback(confirmed),adaptive_eval,"Midday peak alertness (10:04), cloudy (lux proxy, 265 lx), moderate ambient (265 lux). Brightness 50%, cool white 6500K. CCT 6500K aligns with circadian midday peak alertness target (6500K) - cool white light supports focus and productivity Brightness feedback: confirmed lux_smooth 265.1 -> 229.8.",,midday peak alertness,"cloudy (lux proxy, 265 lx)"
1775894691.451,2026-04-11T10:04:51,ai,True,True,True,True,186.7,197.0,74,62,0.074,83,53,72,100,320,,,False,128,154,0,6494,318.3,,,,,,
1775894696.47,2026-04-11T10:04:56,ai,True,True,False,True,186.7,188.4,1094,63,0.094,80,0,80,100,325,,,False,128,154,0,6494,323.3,,,,,,
1775894701.493,2026-04-11T10:05:01,ai,True,True,True,True,187.5,187.5,116,64,0.116,84,48,82,100,330,,,False,128,154,0,6494,328.3,,,,,,
1775894706.516,2026-04-11T10:05:06,ai,True,True,True,True,184.2,186.5,139,65,0.139,88,57,81,100,335,,,False,128,154,0,6494,333.4,,,,,,
1775894711.537,2026-04-11T10:05:11,ai,True,True,True,True,186.7,186.6,159,66,0.16,83,46,109,100,340,,,False,128,154,0,6494,338.4,,,,,,
1775894716.559,2026-04-11T10:05:16,ai,True,True,True,True,185.8,186.2,183,67,0.184,90,100,82,100,345,,,False,128,154,0,6494,343.4,,,,,,
1775894721.579,2026-04-11T10:05:21,ai,True,True,False,True,185.8,185.9,4202,67,0.205,73,0,73,100,350,,,False,128,154,0,6494,348.4,,,,,,
1775894726.603,2026-04-11T10:05:26,ai,True,True,True,True,185.8,185.8,227,70,0.228,0,35,84,100,355,,,False,128,154,0,6494,353.4,,,,,,
1775894731.625,2026-04-11T10:05:31,ai,True,True,True,True,185.8,185.8,250,70,0.25,79,100,107,100,360,,,False,128,154,0,6494,358.5,,,,,,
1775894736.645,2026-04-11T10:05:36,ai,True,True,False,True,185.8,185.8,1270,71,0.271,83,0,83,100,365,,,False,128,154,0,6494,363.5,,,,,,
1775894741.665,2026-04-11T10:05:41,ai,True,True,False,True,185.8,185.8,1289,73,0.289,76,0,76,100,370,,,False,128,154,0,6494,368.5,,,,,,
1775894746.686,2026-04-11T10:05:46,ai,True,True,True,True,185.0,185.4,310,75,0.311,78,100,146,100,375,,,False,128,154,0,6494,373.5,,,,,,
1775894751.707,2026-04-11T10:05:51,ai,True,True,True,True,185.8,185.3,332,76,0.333,104,44,111,100,380,,,False,128,154,0,6494,378.5,,,,,,
1775894756.728,2026-04-11T10:05:56,ai,True,True,False,True,185.0,185.2,1353,77,0.354,81,0,81,100,385,,,False,128,154,0,6494,383.6,,,,,,
1775894761.748,2026-04-11T10:06:01,ai,True,True,False,True,185.0,185.0,2373,78,0.373,75,0,75,100,390,,,False,128,154,0,6494,388.6,,,,,,
1775894766.768,2026-04-11T10:06:06,ai,True,True,True,True,185.0,185.0,394,79,0.395,72,42,76,100,395,,,False,128,154,0,6494,393.6,,,,,,
1775894771.789,2026-04-11T10:06:11,ai,True,True,True,True,181.7,180.7,415,79,0.416,82,100,107,100,400,,,False,128,154,0,6494,398.6,,,,,,
1775894776.809,2026-04-11T10:06:16,ai,True,True,False,True,181.7,181.5,1436,80,0.435,99,0,99,100,405,,,False,128,154,0,6494,403.6,,,,,,
1775894781.83,2026-04-11T10:06:21,ai,True,True,True,True,181.7,181.6,456,82,0.457,86,36,79,100,410,,,False,128,154,0,6494,408.7,,,,,,
1775894786.851,2026-04-11T10:06:26,ai,True,True,True,True,182.5,182.0,477,82,0.478,84,63,136,100,415,,,False,128,154,0,6494,413.7,,,,,,
1775894791.875,2026-04-11T10:06:31,ai,True,True,False,True,184.2,182.7,2501,82,0.503,72,0,72,100,420,,,False,128,154,0,6494,418.7,,,,,,
1775894796.898,2026-04-11T10:06:36,ai,True,True,True,True,185.8,185.3,524,84,0.525,72,45,145,100,425,,,False,128,154,0,6494,423.7,,,,,,
1775894801.919,2026-04-11T10:06:41,ai,True,True,False,True,185.0,185.2,2545,85,0.545,81,0,81,100,430,,,False,128,154,0,6494,428.8,,,,,,
1775894806.941,2026-04-11T10:06:46,ai,True,True,False,True,185.8,185.7,2568,86,0.569,82,0,82,100,435,,,False,128,154,0,6494,433.8,,,,,,
1775894811.962,2026-04-11T10:06:51,ai,True,True,True,True,186.7,186.4,590,87,0.59,75,51,88,100,440,,,False,128,154,0,6494,438.8,,,,,,
1775894816.983,2026-04-11T10:06:56,ai,True,True,False,True,188.3,187.5,1611,88,0.611,73,0,73,100,445,,,False,128,154,0,6494,443.8,,,,,,
1775894822.004,2026-04-11T10:07:02,ai,True,True,True,True,188.3,188.2,632,89,0.633,83,74,86,100,450,,,False,128,154,0,6494,448.8,,,,,,
1775894827.025,2026-04-11T10:07:07,ai,True,True,False,True,186.7,187.2,2653,90,0.653,88,0,88,100,455,,,False,128,154,0,6494,453.9,,,,,,
1775894832.044,2026-04-11T10:07:12,ai,True,True,True,True,186.7,186.8,672,92,0.672,145,67,150,100,460,,,False,128,154,0,6494,458.9,,,,,,
1775894837.063,2026-04-11T10:07:17,ai,True,True,True,True,200.0,190.3,692,93,0.692,79,33,74,100,465,,,False,128,154,0,6494,463.9,,,,,,
1775894842.082,2026-04-11T10:07:22,ai,True,True,False,True,199.2,194.8,2709,94,0.71,97,0,97,100,470,,,False,128,154,0,6494,468.9,,,,,,
1775894847.106,2026-04-11T10:07:27,ai,True,True,False,True,185.8,194.4,1733,96,0.734,87,0,87,100,475,,,False,128,154,0,6494,473.9,,,,,,
1775894852.127,2026-04-11T10:07:32,ai,True,True,False,True,185.8,187.3,1756,98,0.757,72,0,72,100,480,,,False,128,154,0,6494,479.0,,,,,,
1775894857.145,2026-04-11T10:07:37,ai,True,True,True,True,185.8,186.0,774,99,0.774,99,36,82,100,485,,,False,128,154,0,6494,484.0,,,,,,
1775894862.167,2026-04-11T10:07:42,ai,True,True,False,True,189.2,187.2,5796,99,0.796,82,0,82,100,490,,,False,128,154,0,6494,489.0,,,,,,
1775894867.186,2026-04-11T10:07:47,ai,True,True,False,True,190.0,189.0,10815,99,0.816,82,0,82,58,495,,,False,128,154,0,6494,494.0,,,,,,
1775894872.207,2026-04-11T10:07:52,ai,True,True,True,True,190.8,190.4,836,100,0.837,89,100,80,100,500,,,False,128,154,0,6494,499.0,,,,,,
1775894877.227,2026-04-11T10:07:57,ai,True,True,False,True,189.2,189.7,1858,100,0.858,79,0,79,100,505,,,False,128,154,0,6494,504.1,,,,,,
1775894882.244,2026-04-11T10:08:02,ai,True,True,False,True,189.2,189.3,2873,101,0.874,81,0,81,100,510,,,False,128,154,0,6494,509.1,,,,,,
1775894887.262,2026-04-11T10:08:07,ai,True,True,False,True,190.0,189.6,2892,102,0.893,76,0,76,100,515,,,False,128,154,0,6494,514.1,,,,,,
1775894892.281,2026-04-11T10:08:12,ai,True,True,True,True,190.0,189.9,912,103,0.913,81,40,85,100,520,,,False,128,154,0,6494,519.1,,,,,,
1775894897.301,2026-04-11T10:08:17,ai,True,True,True,True,191.7,190.9,933,104,0.933,75,45,75,100,525,,,False,128,154,0,6494,524.1,,,,,,
1775894902.32,2026-04-11T10:08:22,ai,True,True,False,True,194.2,193.0,3952,104,0.952,79,0,79,100,530,,,False,128,154,0,6494,529.2,,,,,,
1775894907.343,2026-04-11T10:08:27,ai,True,True,False,True,196.7,195.8,4973,105,0.975,73,0,73,93,535,,,False,128,154,0,6494,534.2,,,,,,
1775894912.362,2026-04-11T10:08:32,ai,True,True,True,True,195.0,195.6,993,106,0.994,77,56,76,77,540,,,False,128,154,0,6494,539.2,,,,,,
1775894917.384,2026-04-11T10:08:37,ai,True,True,False,True,192.5,193.4,2016,107,0.016,74,0,74,100,546,,,False,128,154,0,6494,544.2,,,,,,
1775894922.404,2026-04-11T10:08:42,ai,True,True,False,True,190.8,191.0,7035,107,0.036,75,0,75,100,551,,,False,128,154,0,6494,549.2,,,,,,
1775894927.422,2026-04-11T10:08:47,ai,True,True,False,True,190.0,190.2,3054,108,0.054,79,0,79,100,556,,,False,128,154,0,6494,554.3,,,,,,
1775894932.443,2026-04-11T10:08:52,ai,True,True,False,True,189.2,189.4,8074,108,0.076,75,0,75,100,561,,,False,128,154,0,6494,559.3,,,,,,
1775894937.463,2026-04-11T10:08:57,ai,True,True,False,True,189.2,189.2,3095,109,0.097,72,0,72,100,566,,,False,128,154,0,6494,564.3,,,,,,
1775894942.486,2026-04-11T10:09:02,ai,True,True,False,True,188.3,188.5,8117,109,0.12,87,0,87,100,571,,,False,128,154,0,6494,569.3,,,,,,
1775894947.504,2026-04-11T10:09:07,ai,True,True,True,True,187.5,187.8,137,110,0.137,87,98,81,100,576,,,False,128,154,0,6494,574.3,,,,,,
1775894952.525,2026-04-11T10:09:12,ai,True,True,True,True,200.8,193.6,157,112,0.158,88,72,87,100,581,,,False,128,154,0,6494,579.4,,,,,,
1775894957.546,2026-04-11T10:09:17,ai,True,True,True,True,206.7,198.4,179,113,0.18,93,100,104,100,586,,,False,128,154,0,6494,584.4,,,,,,
1775894962.566,2026-04-11T10:09:22,ai,True,True,False,True,233.3,223.2,4198,113,0.2,140,0,140,100,591,,,False,128,154,0,6494,589.4,,,,,,
1775894967.587,2026-04-11T10:09:27,ai,True,True,False,True,232.5,231.4,9220,113,0.221,140,0,140,100,596,,,False,128,154,0,6494,594.4,,,,,,
1775894972.607,2026-04-11T10:09:32,ai,True,True,True,True,160.0,195.4,241,114,0.242,80,100,96,100,601,,,False,128,154,0,6494,599.4,,,,,,
1775894977.627,2026-04-11T10:09:37,ai,True,True,True,True,182.5,177.4,259,114,0.26,142,55,89,100,606,,,False,128,154,0,6494,604.5,,,,,,
1775894982.645,2026-04-11T10:09:42,ai,True,True,True,True,181.7,181.1,279,115,0.279,105,81,99,100,611,,,False,128,154,0,6494,609.5,,,,,,
1775894987.665,2026-04-11T10:09:47,ai,True,True,True,True,292.5,215.1,299,115,0.299,88,54,100,100,616,,,False,164,154,0,6494,614.5,,,,,,
1775894988.878,2026-04-11T10:09:48,ai,True,True,True,True,293.3,238.6,513,115,0.513,129,55,135,100,617,,,False,164,154,0,6494,615.7,set_brightness_pct(64); brightness_feedback(confirmed),adaptive_eval,"Midday peak alertness (10:09), cloudy (lux proxy, 182 lx), moderate ambient (182 lux). Brightness 64%, cool white 6500K. CCT 6500K aligns with circadian midday peak alertness target (6500K) - cool white light supports focus and productivity Brightness feedback: confirmed lux_smooth 181.7 -> 238.6.",,midday peak alertness,"cloudy (lux proxy, 182 lx)"
1775894992.684,2026-04-11T10:09:52,ai,True,True,True,True,293.3,280.2,318,116,0.319,120,64,86,100,621,,,False,164,154,0,6494,619.5,,,,,,
1775894997.701,2026-04-11T10:09:57,ai,True,True,True,True,275.8,278.7,335,118,0.336,97,54,97,100,626,,,False,164,154,0,6494,624.5,,,,,,
1775895002.724,2026-04-11T10:10:02,ai,True,True,True,True,278.3,278.2,358,119,0.359,82,71,83,100,631,,,False,164,154,0,6494,629.6,,,,,,
1775895007.745,2026-04-11T10:10:07,ai,True,True,True,True,278.3,278.3,379,121,0.379,142,100,86,100,636,,,False,164,154,0,6494,634.6,,,,,,
1775895012.765,2026-04-11T10:10:12,ai,True,True,True,True,279.2,278.6,401,122,0.401,126,70,142,100,641,,,False,164,154,0,6494,639.6,,,,,,
1775895017.79,2026-04-11T10:10:17,ai,True,True,True,True,279.2,279.1,425,122,0.426,97,100,97,100,646,,,False,164,154,0,6494,644.6,,,,,,
1775895022.808,2026-04-11T10:10:22,ai,True,True,True,True,277.5,277.7,444,123,0.444,86,100,84,100,651,,,False,164,154,0,6494,649.6,,,,,,
1775895027.83,2026-04-11T10:10:27,ai,True,True,False,True,279.2,278.9,1465,123,0.466,83,0,83,100,656,,,False,164,154,0,6494,654.7,,,,,,
1775895032.85,2026-04-11T10:10:32,ai,True,True,True,True,274.2,280.2,486,124,0.487,117,52,134,100,661,,,False,164,154,0,6494,659.7,,,,,,
1775895037.869,2026-04-11T10:10:37,ai,True,True,False,True,301.7,299.3,5506,124,0.506,150,0,150,63,666,,,False,164,154,0,6494,664.7,,,,,,
1775895042.887,2026-04-11T10:10:42,ai,True,True,False,True,301.7,301.3,10524,124,0.524,75,0,75,100,671,,,False,164,154,0,6494,669.7,,,,,,
1775895047.907,2026-04-11T10:10:47,ai,True,True,False,True,303.3,302.5,15544,124,0.544,75,0,75,98,676,,,False,164,154,0,6494,674.7,,,,,,
1775895052.927,2026-04-11T10:10:52,ai,True,True,False,True,304.2,303.6,20563,124,0.564,75,0,75,81,681,,,False,164,154,0,6494,679.8,,,,,,
1775895057.947,2026-04-11T10:10:57,ai,True,True,False,True,305.0,304.6,25583,124,0.583,75,0,75,47,686,,,False,164,154,0,6494,684.8,,,,,,
1775895062.965,2026-04-11T10:11:02,ai,True,True,False,True,305.0,304.9,30602,124,0.603,75,0,75,69,691,,,False,164,154,0,6494,689.8,,,,,,
1775895067.988,2026-04-11T10:11:07,ai,True,True,False,True,305.0,305.0,35625,124,0.626,75,0,75,55,696,,,False,164,154,0,6494,694.8,,,,,,
1775895073.006,2026-04-11T10:11:13,ai,True,True,False,True,306.7,306.1,40643,124,0.645,75,0,75,82,701,,,False,164,154,0,6494,699.8,,,,,,
1775895078.027,2026-04-11T10:11:18,ai,True,True,False,True,306.7,306.8,45664,124,0.666,75,0,75,73,706,,,False,164,154,0,6494,704.9,,,,,,
1775895083.048,2026-04-11T10:11:23,ai,True,True,False,True,306.7,306.3,50684,124,0.686,75,0,75,78,711,,,False,164,154,0,6494,709.9,,,,,,
1775895088.07,2026-04-11T10:11:28,ai,True,True,True,True,282.5,299.3,709,125,0.709,133,100,81,100,716,,,False,164,154,0,6494,714.9,,,,,,
1775895093.092,2026-04-11T10:11:33,ai,True,True,False,True,328.3,317.9,4730,125,0.73,86,0,86,100,721,,,False,164,154,0,6494,719.9,,,,,,
1775895098.114,2026-04-11T10:11:38,ai,True,True,False,True,333.3,329.4,9752,125,0.752,86,0,86,79,726,,,False,164,154,0,6494,724.9,,,,,,
1775895103.14,2026-04-11T10:11:43,ai,True,True,False,True,335.0,334.4,14778,125,0.779,86,0,86,73,731,,,False,164,154,0,6494,730.0,,,,,,
1775895108.159,2026-04-11T10:11:48,ai,True,True,False,True,335.0,334.6,19797,125,0.799,86,0,86,62,736,,,False,164,154,0,6494,735.0,,,,,,
1775895113.18,2026-04-11T10:11:53,ai,True,True,False,True,330.0,332.3,24818,125,0.819,86,0,86,58,741,,,False,164,154,0,6494,740.0,,,,,,
1775895118.201,2026-04-11T10:11:58,ai,True,True,True,True,288.3,298.9,839,126,0.84,83,100,131,100,746,,,False,164,154,0,6494,745.0,,,,,,
1775895123.22,2026-04-11T10:12:03,ai,True,True,True,True,307.5,306.2,860,126,0.86,83,31,79,100,751,,,False,164,154,0,6494,750.1,,,,,,
1775895128.241,2026-04-11T10:12:08,ai,True,True,False,True,307.5,307.3,5880,126,0.881,80,0,80,100,756,,,False,164,154,0,6494,755.1,,,,,,
1775895133.262,2026-04-11T10:12:13,ai,True,True,False,True,307.5,307.5,4902,127,0.903,76,0,76,100,761,,,False,164,154,0,6494,760.1,,,,,,
1775895138.284,2026-04-11T10:12:18,ai,True,True,False,True,307.5,307.5,3923,128,0.924,71,0,71,100,766,,,False,164,154,0,6494,765.1,,,,,,
1775895143.305,2026-04-11T10:12:23,ai,True,True,False,True,306.7,307.0,8944,128,0.945,81,0,81,100,771,,,False,164,154,0,6494,770.1,,,,,,
1775895148.326,2026-04-11T10:12:28,ai,True,True,True,True,306.7,306.7,966,130,0.966,72,35,75,100,776,,,False,164,154,0,6494,775.2,,,,,,
1775895153.346,2026-04-11T10:12:33,ai,True,True,False,True,302.5,305.2,2987,131,0.988,75,0,75,73,781,,,False,164,154,0,6494,780.2,,,,,,
1775895158.366,2026-04-11T10:12:38,ai,True,True,False,True,306.7,306.5,8007,131,0.007,75,0,75,69,787,,,False,164,154,0,6494,785.2,,,,,,
1775895163.387,2026-04-11T10:12:43,ai,True,True,False,True,306.7,306.6,13028,131,0.029,75,0,75,100,792,,,False,164,154,0,6494,790.2,,,,,,
1775895168.409,2026-04-11T10:12:48,ai,True,True,False,True,307.5,307.3,18050,131,0.05,80,0,80,100,797,,,False,164,154,0,6494,795.2,,,,,,
1775895173.429,2026-04-11T10:12:53,ai,True,True,True,True,307.5,307.1,70,133,0.07,97,77,131,100,802,,,False,164,154,0,6494,800.3,,,,,,
1775895178.451,2026-04-11T10:12:58,ai,True,True,True,True,306.7,307.2,93,134,0.093,73,32,79,100,807,,,False,164,154,0,6494,805.3,,,,,,
