ts_epoch,ts_iso,mode,raw_present,filt_occupied,moving,stationary,lux,lux_smooth,moving_age_ms,moving_events,sensor_age_s,move_dist,move_energy,still_dist,still_energy,sensor_seq,confirm_count,filter_stage,lamp_is_off,lamp_level,lamp_temp_dtr,lamp_temp_dtr1,cct_kelvin,runtime_s,action,reason,rationale,user_text,circadian_phase,weather_context
1775894385.116,2026-04-11T09:59:45,ai,True,True,True,True,184.2,181.3,728,3,0.728,87,74,118,100,13,,,False,190,16,39,100,12.0,,,,,,
1775894389.545,2026-04-11T09:59:49,ai,True,True,True,True,232.5,214.6,155,4,0.156,95,49,90,100,18,,,False,156,154,0,6494,16.4,set_cct(6478K); set_brightness_pct(61); brightness_feedback(retried),adaptive_eval,"Morning warm-up (09:59), cloudy (lux proxy, 184 lx), moderate ambient (184 lux). Brightness 61%, cool white 6478K. CCT 6478K aligns with circadian morning warm-up target (6478K) - transitioning to cooler tones to boost morning alertness Brightness feedback: no decrease seen (181.4 -> 206.9); retried once.",,morning warm-up,"cloudy (lux proxy, 184 lx)"
1775894390.147,2026-04-11T09:59:50,ai,True,True,True,True,232.5,214.6,758,4,0.758,95,49,90,100,18,,,False,156,154,0,6494,17.0,,,,,,
1775894395.169,2026-04-11T09:59:55,ai,True,True,True,True,235.8,231.2,781,4,0.781,138,92,141,100,23,,,False,156,154,0,6494,22.0,,,,,,
1775894400.191,2026-04-11T10:00:00,ai,True,True,True,True,246.7,238.3,802,4,0.802,145,100,107,100,28,,,False,156,154,0,6494,27.0,,,,,,
1775894405.212,2026-04-11T10:00:05,ai,True,True,True,True,247.5,245.4,823,5,0.823,92,100,79,100,33,,,False,156,154,0,6494,32.0,,,,,,
1775894410.234,2026-04-11T10:00:10,ai,True,True,False,True,245.8,246.2,1846,5,0.846,92,0,92,100,38,,,False,156,154,0,6494,37.1,,,,,,
1775894415.255,2026-04-11T10:00:15,ai,True,True,False,True,263.3,248.8,2867,6,0.87,148,0,148,100,43,,,False,156,154,0,6494,42.1,,,,,,
1775894420.276,2026-04-11T10:00:20,ai,True,True,False,True,264.2,261.3,2889,8,0.889,83,0,83,100,48,,,False,156,154,0,6494,47.1,,,,,,
1775894425.298,2026-04-11T10:00:25,ai,True,True,True,True,265.0,264.4,910,9,0.911,89,82,93,100,53,,,False,156,154,0,6494,52.1,,,,,,
1775894430.321,2026-04-11T10:00:30,ai,True,True,True,True,263.3,264.0,933,10,0.933,91,100,77,100,58,,,False,156,154,0,6494,57.2,,,,,,
1775894435.344,2026-04-11T10:00:35,ai,True,True,True,True,263.3,263.4,957,11,0.957,75,59,75,100,63,,,False,156,154,0,6494,62.2,,,,,,
1775894440.369,2026-04-11T10:00:40,ai,True,True,False,True,265.0,264.7,5981,11,0.983,93,0,93,100,68,,,False,156,154,0,6494,67.2,,,,,,
1775894445.392,2026-04-11T10:00:45,ai,True,True,True,True,265.0,264.8,4,13,0.005,124,72,77,100,74,,,False,156,154,0,6494,72.2,,,,,,
1775894450.411,2026-04-11T10:00:50,ai,True,True,True,True,265.0,265.0,25,15,0.025,93,33,79,100,79,,,False,156,154,0,6494,77.2,,,,,,
1775894455.432,2026-04-11T10:00:55,ai,True,True,False,True,265.0,264.6,4047,15,0.047,84,0,84,100,84,,,False,156,154,0,6494,82.3,,,,,,
1775894460.451,2026-04-11T10:01:00,ai,True,True,False,True,265.0,265.0,9065,15,0.065,80,0,80,100,89,,,False,156,154,0,6494,87.3,,,,,,
1775894465.471,2026-04-11T10:01:05,ai,True,True,False,True,265.8,265.2,14086,15,0.085,103,0,103,100,94,,,False,156,154,0,6494,92.3,,,,,,
1775894470.494,2026-04-11T10:01:10,ai,True,True,False,True,265.0,265.0,4108,16,0.108,78,0,78,100,99,,,False,156,154,0,6494,97.3,,,,,,
1775894475.516,2026-04-11T10:01:15,ai,True,True,False,True,265.0,265.0,9130,16,0.13,78,0,78,100,104,,,False,156,154,0,6494,102.4,,,,,,
1775894480.539,2026-04-11T10:01:20,ai,True,True,True,True,264.2,264.8,152,17,0.153,80,38,97,100,109,,,False,156,154,0,6494,107.4,,,,,,
1775894485.562,2026-04-11T10:01:25,ai,True,True,True,True,264.2,264.3,176,18,0.177,77,44,81,100,114,,,False,156,154,0,6494,112.4,,,,,,
1775894490.584,2026-04-11T10:01:30,ai,True,True,False,True,264.2,264.2,5198,18,0.199,77,0,77,100,119,,,False,156,154,0,6494,117.4,,,,,,
1775894495.614,2026-04-11T10:01:35,ai,True,True,False,True,265.0,264.7,2229,19,0.23,82,0,82,100,124,,,False,156,154,0,6494,122.4,,,,,,
1775894500.637,2026-04-11T10:01:40,ai,True,True,False,True,265.0,265.0,2251,20,0.252,73,0,73,100,129,,,False,156,154,0,6494,127.5,,,,,,
1775894505.659,2026-04-11T10:01:45,ai,True,True,False,True,265.0,265.0,7273,20,0.275,82,0,82,100,134,,,False,156,154,0,6494,132.5,,,,,,
1775894510.681,2026-04-11T10:01:50,ai,True,True,False,True,265.0,265.0,1296,21,0.296,79,0,79,100,139,,,False,156,154,0,6494,137.5,,,,,,
1775894515.702,2026-04-11T10:01:55,ai,True,True,True,True,264.2,264.5,318,23,0.318,103,36,144,100,144,,,False,156,154,0,6494,142.5,,,,,,
1775894520.723,2026-04-11T10:02:00,ai,True,True,False,True,265.0,264.7,1338,24,0.34,71,0,71,100,149,,,False,156,154,0,6494,147.6,,,,,,
1775894525.745,2026-04-11T10:02:05,ai,True,True,True,True,265.0,264.9,361,26,0.362,76,59,97,100,154,,,False,156,154,0,6494,152.6,,,,,,
1775894530.766,2026-04-11T10:02:10,ai,True,True,False,True,263.3,263.8,2382,27,0.383,80,0,80,100,159,,,False,156,154,0,6494,157.6,,,,,,
1775894535.786,2026-04-11T10:02:15,ai,True,True,False,True,263.3,263.5,1402,29,0.403,78,0,78,100,164,,,False,156,154,0,6494,162.6,,,,,,
1775894540.807,2026-04-11T10:02:20,ai,True,True,True,True,264.2,264.0,424,31,0.424,75,52,75,100,169,,,False,156,154,0,6494,167.6,,,,,,
1775894545.828,2026-04-11T10:02:25,ai,True,True,True,False,264.2,264.1,446,32,0.446,81,64,79,0,174,,,False,156,154,0,6494,172.7,,,,,,
1775894550.851,2026-04-11T10:02:30,ai,True,True,True,True,264.2,264.2,469,33,0.469,0,35,106,100,179,,,False,156,154,0,6494,177.7,,,,,,
1775894555.874,2026-04-11T10:02:35,ai,True,True,True,True,264.2,264.2,491,35,0.491,75,32,79,100,184,,,False,156,154,0,6494,182.7,,,,,,
1775894560.894,2026-04-11T10:02:40,ai,True,True,False,True,265.0,264.8,2512,36,0.512,84,0,84,100,189,,,False,156,154,0,6494,187.7,,,,,,
1775894565.917,2026-04-11T10:02:45,ai,True,True,False,True,265.0,265.0,2535,38,0.535,81,0,81,100,194,,,False,156,154,0,6494,192.8,,,,,,
1775894570.941,2026-04-11T10:02:50,ai,True,True,False,True,265.0,264.7,3558,39,0.559,103,0,103,100,199,,,False,156,154,0,6494,197.8,,,,,,
1775894575.962,2026-04-11T10:02:55,ai,True,True,True,True,264.2,264.7,579,41,0.579,87,71,84,100,204,,,False,156,154,0,6494,202.8,,,,,,
1775894580.981,2026-04-11T10:03:00,ai,True,True,True,True,264.2,264.1,598,42,0.599,92,85,87,100,209,,,False,156,154,0,6494,207.8,,,,,,
1775894586.001,2026-04-11T10:03:06,ai,True,True,False,True,265.8,265.4,1619,43,0.618,83,0,83,100,214,,,False,156,154,0,6494,212.8,,,,,,
1775894591.023,2026-04-11T10:03:11,ai,True,True,False,True,265.0,265.3,2641,44,0.642,80,0,80,100,219,,,False,156,154,0,6494,217.9,,,,,,
1775894596.045,2026-04-11T10:03:16,ai,True,True,True,True,265.8,265.7,664,45,0.664,149,59,83,100,224,,,False,156,154,0,6494,222.9,,,,,,
1775894601.066,2026-04-11T10:03:21,ai,True,True,False,True,264.2,265.1,1685,46,0.687,79,0,79,100,229,,,False,156,154,0,6494,227.9,,,,,,
1775894606.086,2026-04-11T10:03:26,ai,True,True,True,True,241.7,251.7,705,48,0.706,120,64,83,100,234,,,False,156,154,0,6494,232.9,,,,,,
1775894611.11,2026-04-11T10:03:31,ai,True,True,True,True,242.5,244.1,730,48,0.73,96,38,80,100,239,,,False,156,154,0,6494,237.9,,,,,,
1775894616.132,2026-04-11T10:03:36,ai,True,True,True,True,244.2,243.5,752,48,0.752,105,51,105,100,244,,,False,156,154,0,6494,243.0,,,,,,
1775894621.156,2026-04-11T10:03:41,ai,True,True,True,True,245.8,244.6,776,49,0.777,146,100,104,100,249,,,False,156,154,0,6494,248.0,,,,,,
1775894626.175,2026-04-11T10:03:46,ai,True,True,True,True,249.2,247.9,796,50,0.796,91,96,140,100,254,,,False,156,154,0,6494,253.0,,,,,,
1775894631.194,2026-04-11T10:03:51,ai,True,True,True,True,249.2,248.6,814,51,0.814,89,84,76,100,259,,,False,156,154,0,6494,258.0,,,,,,
1775894636.217,2026-04-11T10:03:56,ai,True,True,True,False,252.5,250.8,838,52,0.838,73,61,75,0,264,,,False,156,154,0,6494,263.1,,,,,,
